Product name,Product ID,Items sold,GMV,Est. standard commission,Est. Shop Ads commission
Wireless Earbuds Pro,1729680238081774226,1,19.99,3.00,0.50
Wireless Earbuds Pro,1729680238081774226,1,19.99,3.00,0.50
Wireless Earbuds Pro,1729680238081774226,2,39.98,6.00,1.00
Wireless Earbuds Pro,1729680238081774226,1,19.99,3.00,0.45
Wireless Earbuds Pro,9999888777666555443,1,19.99,3.00,0.50
Wireless Earbuds Pro,9999888777666555443,1,19.99,3.00,0.45
Z:SEA Peptide Firming Neck Cream,1111222233334444555,1,24.99,3.75,0.25
Z:SEA Neck Cream 2-pack,6666777788889999000,1,29.99,4.50,0.30
【Buy 3 Get 1 Free】 Z:SEA Peptide Firming Neck Cream,1111222233334444555-alt,1,24.99,3.75,0.25
LED Desk Lamp,1731887139711062704,1,22.50,3.38,0.00
LED Desk Lamp,1731887139711062704,1,22.50,3.38,0.20
LED Desk Lamp,1731887139711062704,2,45.00,6.75,0.40
Portable Blender,1744556677889900112,1,20.00,3.00,0.00
Portable Blender,1744556677889900112,1,20.00,3.00,0.15
Vitamin C Serum,1755667788990011223,1,9.99,1.50,0.00
Vitamin C Serum,1755667788990011223,3,29.97,4.50,0.30
Vitamin C Serum,1755667788990011223,2,19.98,3.00,0.20
Posture Corrector Belt,1788990011223344556,1,10.00,1.50,0.00
Posture Corrector Belt,1788990011223344556,2,20.00,3.00,0.25
Posture Corrector Belt,1788990011223344556,3,30.00,4.50,0.35
Collagen Peptides Powder,1800112233445566778,1,24.99,3.75,0.00
Collagen Peptides Powder,1800112233445566778,2,49.98,7.50,0.50
Collagen Peptides Powder,1800112233445566778,1,24.99,3.75,0.40
Magnetic Phone Mount,1777889900112233445,1,15.00,2.25,0.00
Magnetic Phone Mount,1777889900112233445,1,15.00,2.25,0.10
Ice Roller Face Tool,1799001122334455667,1,12.00,1.80,0.00
Ice Roller Face Tool,1799001122334455667,1,12.00,1.80,0.10
Silicone Kitchen Utensil Set,1766778899001122334,1,18.00,2.70,0.00
Silicone Kitchen Utensil Set,1766778899001122334,1,18.00,2.70,0.15
Mini Projector HD,1811223344556677889,1,45.00,6.75,0.00
Car Vacuum Cleaner,1822334455667788990,1,38.00,5.70,0.00
Resistance Bands Set,1833445566778899001,1,13.00,1.95,0.00
Resistance Bands Set,1833445566778899001,1,13.00,1.95,0.10
Heated Eye Mask,1844556677889900112,1,18.00,2.70,0.00
Scalp Massager Brush,1855667788990011223,1,12.00,1.80,0.00
